1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
977;2839;1908;1363;1515;1357;1204;2351;1707;2388;3124;2263;1150;3489;1565;1482;2136;3361;2835;1931;3159;2192;1686;1234;3561;1553;1147;2032;1199;1508;1861;1091;2890;1162;1607;3373;1237;3171;574;1445
868;2397;1981;1387;1276;2007;919;1692;2081;1759;2551;2354;1974;2577;1021;1920;1446;2318;3461;2128;4214;2778;1279;992;2188;1631;787;1584;1040;1494;1967;1511;2070;1179;1483;2530;904;2265;585;1108
660;3092;1376;1214;1098;1954;1074;2241;1612;1813;2220;1515;2104;4462;1125;1528;1220;1453;3076;1455;2997;2301;1385;860;2258;1562;550;1270;961;2715;2075;1499;1681;805;902;2482;991;1713;619;1060
567;2672;1058;1372;1070;2263;1002;2342;1375;2309;1957;1106;1949;3480;852;1250;1522;1453;2555;908;1617;1609;1026;1102;1605;1145;533;1640;697;2546;1740;1317;2047;1240;776;3682;1259;1732;813;627
641;1681;848;910;1345;2702;832;3114;1177;2432;1568;928;1876;4030;560;874;1020;1577;2274;762;2613;2535;605;616;1018;2692;428;1204;674;1375;1285;1597;1464;964;999;2266;1288;1439;837;564
536;1505;1015;893;931;2425;946;1739;1457;2309;1719;863;1877;3598;421;1087;726;714;1894;523;2623;1856;752;1136;658;1658;616;1438;774;1182;897;2584;988;1127;685;1668;992;1606;937;967
884;1187;1111;823;895;2283;1683;1334;1682;1912;1258;809;1774;2106;571;1157;848;752;3326;558;2014;1352;523;1279;908;2001;626;1038;954;1405;1129;2153;1099;1090;1250;1042;1240;1555;1122;948
1086;745;1014;1048;920;2126;1293;1442;1293;1363;1439;571;1933;1668;530;955;1141;983;3020;791;1417;3183;437;1034;912;2046;837;837;951;1332;884;1589;1421;863;936;1282;1401;1193;957;970
879;659;832;1579;894;4085;999;1319;1277;1171;1541;806;1835;1169;599;936;898;1367;1691;880;1313;2821;724;881;1340;1683;1703;930;981;1936;664;3213;1468;1010;606;1172;1360;1094;623;1283
1030;609;1128;2418;1374;3287;1224;1753;1811;907;1273;862;1256;783;771;662;584;1140;1356;754;1186;4040;547;698;1282;1648;1029;1048;665;2020;1117;2966;1267;639;584;747;1135;1948;821;1369
1104;437;1573;3149;1199;2103;1242;1728;1604;1138;1953;1031;1162;893;750;587;566;1337;2253;711;847;2593;603;1013;1496;1498;910;1321;529;1461;1561;2641;1525;2374;451;1608;804;1253;1280;1495
892;646;1314;2057;2048;1528;1068;1559;2082;922;1322;1505;1078;635;817;589;465;1272;1595;1059;714;1301;585;1411;2354;1205;1069;1009;591;1648;1125;2550;1354;1449;622;1925;1014;850;1719;1112
943;958;1042;1612;2909;1664;1317;1184;1708;1128;1340;1192;875;1039;1041;747;1318;1082;1320;1186;748;1546;572;1135;1847;1222;1478;964;984;1483;1074;2369;1678;919;929;2149;772;1563;1173;1008
1873;1477;760;1332;2774;1939;1021;1714;1673;801;1140;1008;1090;1163;1263;1245;1358;1076;1202;1117;1536;1979;367;881;1604;1022;1478;788;1491;1061;798;1702;1644;1133;969;1286;545;1450;1075;780
1257;1181;612;1989;2139;1889;1198;2767;1375;714;1164;1303;718;1051;712;1298;1394;833;1311;662;1254;1641;315;696;1048;844;1394;997;1455;933;838;1559;1410;792;1052;1058;473;1564;1320;938
980;843;750;1747;2046;1561;1168;1904;1035;833;915;1131;537;1232;778;1313;1127;650;1384;987;1211;1098;448;474;991;818;1652;1041;1132;908;821;1314;1158;1028;1288;1054;464;1181;940;1340
754;726;890;1308;2244;1851;1388;1382;802;758;1164;932;459;892;804;887;1142;707;2673;1320;1844;1280;417;791;1099;1398;1247;931;901;764;915;1600;1128;1351;1819;936;440;1100;811;1041
688;573;699;1346;1617;1345;1142;1185;666;993;1040;1031;676;742;626;581;1111;553;1301;1384;2110;1030;298;852;1086;1240;1109;840;737;719;659;1340;1043;990;1393;1349;297;974;913;558
647;501;788;1060;1007;933;1003;954;581;806;893;853;678;615;539;482;907;730;997;1042;1973;984;319;630;1196;871;1187;619;852;642;551;1085;1059;894;1049;1001;560;743;1483;706
654;628;800;756;777;759;970;916;522;487;606;731;589;494;828;629;874;539;752;911;1726;853;265;524;807;943;1494;621;629;1153;421;1005;1021;804;713;668;732;770;682;855
627;605;744;676;803;569;1082;640;506;552;645;1095;619;546;754;478;693;411;758;801;1767;830;319;489;694;632;1885;575;598;1471;344;900;790;839;831;724;610;768;470;774
502;646;655;669;794;657;920;632;427;546;759;759;908;594;688;353;709;462;1020;701;1578;688;261;618;666;709;1803;756;638;986;369;823;572;753;792;829;763;762;717;831
542;477;588;531;616;563;790;650;462;647;558;682;664;571;526;473;942;580;577;565;1713;769;224;551;748;663;1515;622;542;796;393;832;509;1178;643;727;574;623;430;844
538;426;533;503;608;517;662;583;419;546;566;528;761;608;608;334;460;561;795;599;1042;683;310;596;815;604;1497;745;553;630;330;731;536;1017;595;715;887;700;421;788
489;417;486;547;573;503;489;550;518;443;545;679;715;471;580;260;647;398;654;574;916;580;202;595;648;490;1258;766;499;575;306;753;569;984;504;879;824;691;420;671
;;;;;;;;;;;;503;;;;;;617;;;;;;620;;;;;470;;;;;;571;;;;
