;NO;FR;ES;CH;SE;DE;AT;IT;BG;HR;PT;RO;CZ;HU;BA;RS;SI;FI;PL;SK;MK;ME
2015-01-01 00:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 01:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 02:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 03:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 04:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 05:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 06:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 07:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 08:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
2015-01-01 09:00:00;5573.5;1542.7;4045.1;404.3;4034.7;1720.4;154.6;312.2;304.4;716.3;444.9;375.5;174.2;28.9;370.5;68.3;311.2;1371.9;266.1;453.8;92.8;97.8
