;NO;FR;ES;CH;SE;DE;AT;IT;BG;HR;PT;RO;CZ;HU;BA;RS;SI;FI;PL;SK;MK;ME
2015-01-01 00:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 01:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 02:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 03:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 04:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 05:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 06:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 07:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 08:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 09:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 10:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 11:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
2015-01-01 12:00:00;7572.4;1426.5;3656.4;533.7;4861.2;1936.3;170.1;374.7;365.0;747.6;382.9;418.0;158.5;26.6;369.2;67.3;323.1;1653.0;308.6;407.5;112.8;125.1
